disease_name,file_name,conclusion
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '其他因素', '病情现状': '伴有慢性阻塞性肺病、类风湿性关节炎或其他全身性疾病', '体检项目': '伴有慢性阻塞性肺病、类风湿性关节炎或其他全身性疾病', '项目结果': '', '重疾险': '按疾病增加评点', '防癌险': '按疾病增加评点', '护理险': '按疾病增加评点', '医疗险': '按疾病增加评点', '意外险': '按疾病增加评点', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '成年人', '病情现状': '现症未愈或2年内出现过症状', '体检项目': '肺功能；胸部影像', '项目结果': 'FEV1 >80％，FEV1/ FVC 正常，不会每天发作', '重疾险': '标体*', '防癌险': '标体*', '护理险': '标体*', '医疗险': '除外*', '意外险': '标体', '备注': '*胸部影像异常的，参考影像结果评估：\n炎症-延期；结节-不保'}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '成年人', '病情现状': '现症未愈或2年内出现过症状', '体检项目': '肺功能；胸部影像', '项目结果': '60%<FEV1≦80%，FEV1/FVC≥65%(下降不超过5%)；每天有症状', '重疾险': '延期', '防癌险': '标体*', '护理险': '标体*', '医疗险': '拒保', '意外险': '标体', '备注': '*胸部影像异常的，参考影像结果评估：\n炎症-延期；结节-不保'}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '成年人', '病情现状': '现症未愈或2年内出现过症状', '体检项目': '肺功能；胸部影像', '项目结果': 'FEV1≦60%，FEV1/FVC<65%(下降超过5%)；每天有严重症状', '重疾险': '延期', '防癌险': '标体*', '护理险': '标体*', '医疗险': '拒保', '意外险': '标体', '备注': '*胸部影像异常的，参考影像结果评估：\n炎症-延期；结节-不保'}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '成年人', '病情现状': '无症状或治疗超过 2 年', '体检项目': '肺功能；胸部影像', '项目结果': '正常', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '除外', '意外险': '标体', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '未成年人', '病情现状': '2岁内或明确诊断未达1年', '体检项目': '2岁内或明确诊断未达1年', '项目结果': '', '重疾险': '延期', '防癌险': '延期', '护理险': '延期', '医疗险': '延期', '意外险': '延期', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '未成年人', '病情现状': '超过2岁且诊断超1年', '体检项目': '根据就诊资料及症状评估', '项目结果': '近一年无发作，无就诊', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '除外', '意外险': '标体', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '未成年人', '病情现状': '超过2岁且诊断超1年', '体检项目': '根据就诊资料及症状评估', '项目结果': '近一年有发作或就诊记录', '重疾险': '延期', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '未成年人', '病情现状': '痊愈2年且无症状', '体检项目': '根据就诊资料及症状评估', '项目结果': '正常', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '除外', '意外险': '标体', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '其他因素', '病情现状': '有吸烟习惯（病历或投保告知中发现）', '体检项目': '', '项目结果': '', '重疾险': '加重评估', '防癌险': '加重评估', '护理险': '加重评估', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '其他因素', '病情现状': '既往住院有重症监护（5年内）', '体检项目': '既往住院有重症监护（5年内）', '项目结果': '', '重疾险': '拒保', '防癌险': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
哮喘,呼吸.txt,"{'疾病名称': '哮喘', '诊断': '其他因素', '病情现状': '伴有慢性阻塞性肺病或其他全身性疾病', '体检项目': '', '项目结果': '', '重疾险': '按疾病增加评点', '防癌险': '按疾病增加评点', '护理险': '按疾病增加评点', '医疗险': '按疾病增加评点', '意外险': '按疾病增加评点', '备注': ''}"
阻塞性睡眠呼吸暂停综合征,呼吸.txt,"{'疾病名称': '阻塞性睡眠呼吸暂停综合征', '诊断': '阻塞性（腺样体肥大、鼻息肉等疾病引起）', '病情现状': '现症未治疗', '体检项目': '客户递交多导睡眠检测报告（关注：氧饱和度、呼吸暂停低通气指数（AHI））', '项目结果': '轻度（氧饱和度睡眠时大于80%；或AHI<15）', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '除外', '意外险': '标体', '备注': ''}"
阻塞性睡眠呼吸暂停综合征,呼吸.txt,"{'疾病名称': '阻塞性睡眠呼吸暂停综合征', '诊断': '阻塞性（腺样体肥大、鼻息肉等疾病引起）', '病情现状': '现症未治疗', '体检项目': '客户递交多导睡眠检测报告（关注：氧饱和度、呼吸暂停低通气指数（AHI））', '项目结果': ' 中度（60%≦睡眠时氧饱和度≦80%或≦15AHI≦30）', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '除外', '意外险': '标体', '备注': ''}"
阻塞性睡眠呼吸暂停综合征,呼吸.txt,"{'疾病名称': '阻塞性睡眠呼吸暂停综合征', '诊断': '阻塞性（腺样体肥大、鼻息肉等疾病引起）', '病情现状': '现症未治疗', '体检项目': '客户递交多导睡眠检测报告（关注：氧饱和度、呼吸暂停低通气指数（AHI））', '项目结果': '重度（睡眠时氧饱和度<60%或AHI>30）', '重疾险': '延期', '防癌险': '标体', '护理险': '标体', '医疗险': '延期', '意外险': '标体', '备注': ''}"
阻塞性睡眠呼吸暂停综合征,呼吸.txt,"{'疾病名称': '阻塞性睡眠呼吸暂停综合征', '诊断': '阻塞性（腺样体肥大、鼻息肉等疾病引起）', '病情现状': '已治疗或手术', '体检项目': '客户递交多导睡眠检测报告（关注：氧饱和度、呼吸暂停低通气指数（AHI））', '项目结果': '轻度（氧饱和度睡眠时大于80%；或AHI<15）', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '除外', '意外险': '标体', '备注': ''}"
阻塞性睡眠呼吸暂停综合征,呼吸.txt,"{'疾病名称': '阻塞性睡眠呼吸暂停综合征', '诊断': '阻塞性（腺样体肥大、鼻息肉等疾病引起）', '病情现状': '已治疗或手术', '体检项目': '客户递交多导睡眠检测报告（关注：氧饱和度、呼吸暂停低通气指数（AHI））', '项目结果': ' 中度（60%≦睡眠时氧饱和度≦80%或≦15AHI≦30）', '重疾险': '延期', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
阻塞性睡眠呼吸暂停综合征,呼吸.txt,"{'疾病名称': '阻塞性睡眠呼吸暂停综合征', '诊断': '阻塞性（腺样体肥大、鼻息肉等疾病引起）', '病情现状': '已治疗或手术', '体检项目': '客户递交多导睡眠检测报告（关注：氧饱和度、呼吸暂停低通气指数（AHI））', '项目结果': '重度（睡眠时氧饱和度<60%或AHI>30）', '重疾险': '延期', '防癌险': '标体', '护理险': '标体', '医疗险': '延期', '意外险': '标体', '备注': ''}"
